id,name,description,itemized_description
1367,A Clash of Beliefs,"ATK & DEF +40% for 4 turns 
from the character's entry turn; 
DEF +30% with each attack performed (up to 180%); 
ATK +30% with each attack received (up to 120%)","*For 4 turn(s) from the character's entry turn*
- ATK & DEF 40%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}DEF 30%{passiveImg:up_g} (up to 180%)
*For every attack received*
- {passiveImg:forever}ATK 30%{passiveImg:up_g} (up to 120%)"
1368,Space Domination,"ATK & DEF +70%; guard activated against 
all attacks; medium chance of evading 
enemy's attack (including Super Attack) 
for 1 turn and plus an additional ATK +40% 
for 4 turns when guard is activated","*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- Guards all attacks
*After guard is activated*
- Medium chance of evading enemy's attack within the turn
- ATK 40%{passiveImg:up_g} for 4 turn(s)"
1369,Iron Will,"Ki +3 and ATK +100%; DEF +120% when HP 
is 80% or above; performs a critical hit 
(once only) and DEF +40% when HP is 79% or below","*Basic effect(s)*
- Ki +3 and ATK 100%{passiveImg:up_g}
*When HP is 80% or more*
- DEF 120%{passiveImg:up_g}
*When HP is 79% or less*
- DEF 40%{passiveImg:up_g}
- {passiveImg:once}Performs a critical hit"
1370,Deep Focus,"ATK +100% when Ki is 6 or more; 
DEF +120% when HP is 80% or above; 
performs a critical hit (once only) and 
DEF +40% when HP is 79% or below","*When attacking with 6 or more Ki*
- ATK 100%{passiveImg:up_g}
*When HP is 80% or more*
- DEF 120%{passiveImg:up_g}
*When HP is 79% or less*
- DEF 40%{passiveImg:up_g}
- {passiveImg:once}Performs a critical hit"
1371,The Hyena's Weak Point?!,"ATK & DEF +10000 when 
performing a Super Attack; 
character will be stunned when 
there is a ""Peppy Gals"" Category enemy","*When attacking with 12 or more Ki*
- ATK & DEF 10000{passiveImg:up_g}
*When there is a ""Peppy Gals"" Category enemy*
- Character will be stunned"
1372,The Bandit's Weak Point?!,"ATK & DEF +15000 when 
performing a Super Attack; 
character will be stunned when 
there is a ""Peppy Gals"" Category enemy","*When attacking with 12 or more Ki*
- ATK & DEF 15000{passiveImg:up_g}
*When there is a ""Peppy Gals"" Category enemy*
- Character will be stunned"
1373,The Wolf's Weak Point?!,"ATK & DEF +20000 when performing 
a Super Attack, plus an additional 
ATK & DEF +10000 when performing 
an Ultra Super Attack; character will be stunned 
when there is a ""Peppy Gals"" Category enemy","*When attacking with 12 or more Ki*
- ATK & DEF 20000{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK & DEF 10000{passiveImg:up_g}
*When there is a ""Peppy Gals"" Category enemy*
- Character will be stunned"
1374,An Adequate Performance,"High chance of evading enemy's attack 
(including Super Attack); ATK & DEF +60% 
for 3 turns after receiving an attack","*Basic effect(s)*
- High chance of evading enemy's attack
*After receiving an attack*
- ATK & DEF 60%{passiveImg:up_g} for 3 turn(s)"
1375,Confidence in Power Growth,"Ki +3 and ATK & DEF +80%; 
high chance of an additional ATK +50%; 
high chance of an additional DEF +50%","*Basic effect(s)*
- Ki +3 and ATK & DEF 80%{passiveImg:up_g}
- High chance of ATK 50%{passiveImg:up_g}
- High chance of DEF 50%{passiveImg:up_g}"
1376,SOS from the Future,"ATK +40%; ATK & DEF +10% (up to 40%) per 
""Time Travelers"" Category ally on the team; 
Ki +3 and medium chance of evading enemy's 
attack (including Super Attack) when there is 
a ""Future Saga"" Category enemy","*Basic effect(s)*
- ATK 40%{passiveImg:up_g}
*Per ""Time Travelers"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g} (up to 40%)
*When there is a ""Future Saga"" Category enemy*
- Ki +3
- Medium chance of evading enemy's attack"
1377,Time-Traveling Helper,"ATK +50%; ATK & DEF +10% (up to 50%) per 
""Time Travelers"" Category ally on the team; 
Ki +4 and medium chance of evading enemy's 
attack (including Super Attack) when there is 
a ""Future Saga"" Category enemy","*Basic effect(s)*
- ATK 50%{passiveImg:up_g}
*Per ""Time Travelers"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g} (up to 50%)
*When there is a ""Future Saga"" Category enemy*
- Ki +4
- Medium chance of evading enemy's attack"
1378,Resistance Allies from the Future,"ATK +70%; ATK & DEF +10% (up to 70%) per 
""Time Travelers"" Category ally on the team; 
Ki +6 and high chance of evading enemy's 
attack (including Super Attack) when there is 
a ""Future Saga"" Category enemy","*Basic effect(s)*
- ATK 70%{passiveImg:up_g}
*Per ""Time Travelers"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g} (up to 70%)
*When there is a ""Future Saga"" Category enemy*
- Ki +6
- High chance of evading enemy's attack"
1379,A Saiyan Raised on Earth,"ATK & DEF +40%; Ki +2 and plus 
an additional DEF +30% when there is 
a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +2 and DEF 30%{passiveImg:up_g}"
1380,A Saiyan Living on Earth,"ATK & DEF +40%; Ki +2 and plus 
an additional ATK +30% when there is 
a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +2 and ATK 30%{passiveImg:up_g}"
1381,A Saiyan Fighting on Earth,"ATK & DEF +50%; Ki +3 and plus 
an additional ATK +40% when there is 
a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +3 and ATK 40%{passiveImg:up_g}"
1382,Encounter and Conflict,"ATK & DEF +30%; 
plus an additional ATK & DEF +20% 
at start of each turn (up to 40%)","*Basic effect(s)*
- ATK & DEF 30%{passiveImg:up_g}
*At the start of each turn*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 40%)"
1383,The Most Malevolent,"Reduces damage received by 20%; 
DEF +15% with each attack received 
(up to 45%); ""Movie Bosses"" Category 
allies' Ki +1 and ATK & DEF +20%","*Basic effect(s)*
- Damage reduction rate 20%{passiveImg:up_g}
- ""Movie Bosses"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}DEF 15%{passiveImg:up_g} (up to 45%)"
1384,A Saiyan Protecting Earth,"ATK & DEF +50%; Ki +3 and plus 
an additional DEF +40% when there is 
a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +3 and DEF 40%{passiveImg:up_g}"
1385,Liberation and Disappearance,"ATK & DEF +40%; 
plus an additional ATK & DEF +30% 
at start of each turn (up to 60%)","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*At the start of each turn*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 60%)"
1386,True Evil,"Reduces damage received by 30%; 
DEF +15% with each attack received 
(up to 60%); ""Movie Bosses"" Category 
allies' Ki +2 and ATK & DEF +30%","*Basic effect(s)*
- Damage reduction rate 30%{passiveImg:up_g}
- ""Movie Bosses"" Category allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}DEF 15%{passiveImg:up_g} (up to 60%)"
1387,A High-Stakes Chance,"Randomly changes Ki Spheres of a certain Type 
to Rainbow Ki Spheres; ATK +20% and Ki +2 per 
Rainbow Ki Sphere obtained","*Basic effect(s)*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*For every Rainbow Ki Sphere obtained*
- Ki +2 and ATK 20%{passiveImg:up_g}"
1388,Pressure of an Evil Ki,"Ki +2 and ATK & DEF +70%; raises ATK by up to 50% 
(the more HP remaining, the greater the ATK boost); 
disables enemy's guard when performing a Super Attack","*Basic effect(s)*
- Ki +2 and ATK & DEF 70%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 50%)
*When attacking with 12 or more Ki*
- Disables the enemy's guard"
1389,Perfect Fusion,"ATK & DEF +77%; attacks effective 
against all Types; medium chance of 
evading enemy's attack (including Super Attack)","*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
- Attacks are effective against all Types
- Medium chance of evading enemy's attack"
1390,True Strength,"ATK & DEF +100%; attacks effective 
against all Types; medium chance of evading 
enemy's attack (including Super Attack); 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Attacks are effective against all Types
- Medium chance of evading enemy's attack
*Starting from the 5th turn from the start of battle*
- Transforms"
1391,True Strength,"ATK & DEF +100%; attacks effective 
against all Types; medium chance of evading 
enemy's attack (including Super Attack); 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Attacks are effective against all Types
- Medium chance of evading enemy's attack
*Starting from the 5th turn from the start of battle*
- Transforms"
1392,Dawn of the Omnipotent Warrior,"ATK & DEF +130%; performs a critical hit 
when attacking; high chance of evading 
enemy's attack (including Super Attack)","*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- Performs a critical hit
- High chance of evading enemy's attack"
1393,Adaptive Strategist,"Ki +2 and ATK & DEF +77%; 
randomly changes Ki Spheres of 
a certain Type to Rainbow Ki Spheres","*Basic effect(s)*
- Ki +2 and ATK & DEF 77%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres"
1394,Godly Fighting Style,"Ki +3 and ATK & DEF +100%; randomly 
changes Ki Spheres of a certain Type to 
Rainbow Ki Spheres; plus an additional 
ATK +7% per Rainbow Ki Sphere obtained; 
reduces damage received by 77% when 
there is a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*For every Rainbow Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Damage reduction rate 77%{passiveImg:up_g}"
1395,Fighting Pace Adjustment,"Ki +2 and ATK & DEF +77%; 
medium chance of guarding all attacks","*Basic effect(s)*
- Ki +2 and ATK & DEF 77%{passiveImg:up_g}
- Medium chance of guarding all attacks"
1396,Divine Pressure,"Ki +3 and ATK & DEF +100%; high chance of 
guarding all attacks; high chance of stunning 
the attacked enemy when there is a 
""Movie Bosses"" Category enemy","*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
- High chance of guarding all attacks
*When there is a ""Movie Bosses"" Category enemy*
- High chance of stunning the attacked enemy"
1397,Incited Anger,"Ki +5, ATK +100% and DEF +80%","*Basic effect(s)*
- Ki +5, ATK 100%{passiveImg:up_g} and DEF 80%{passiveImg:up_g}"
1398,Savage Instinct,"Ki +6, ATK +130% and DEF +100%; 
Transforms when conditions are met","*Basic effect(s)*
- Ki +6, ATK 130%{passiveImg:up_g} and DEF 100%{passiveImg:up_g}
*Starting from the 4th turn from the start of battle*
- Transforms into the Full Power state"
1399,Savage Instinct,"Ki +6, ATK +130% and DEF +100%; 
Transforms when conditions are met","*Basic effect(s)*
- Ki +6, ATK 130%{passiveImg:up_g} and DEF 100%{passiveImg:up_g}
*Starting from the 4th turn from the start of battle*
- Transforms into the Full Power state"
1400,The Ultimate Saiyan Adversary,"Ki +8, ATK +188% and DEF +120%; 
launches an additional attack that has 
a high chance of becoming a Super Attack","*Basic effect(s)*
- Ki +8, ATK 188%{passiveImg:up_g} and DEF 120%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack"
1401,Fight and Learn,"ATK & DEF +50%; plus an additional 
DEF +15% with each attack performed 
(up to 60%); plus an additional ATK +15% 
with each attack received (up to 60%)","*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}DEF 15%{passiveImg:up_g} (up to 60%)
*For every attack received*
- {passiveImg:forever}ATK 15%{passiveImg:up_g} (up to 60%)"
1402,The Power of a Giant Ape in Human Form,"ATK & DEF +60%; plus an additional 
DEF +20% with each attack performed 
(up to 60%); plus an additional ATK +20% 
with each attack received (up to 60%)","*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 60%)
*For every attack received*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 60%)"
1403,Collision between Saiyans,"""Pure Saiyans"" Category allies' Ki +1 
and ATK & DEF +30%; ATK +90% when 
there is a ""Pure Saiyans"" Category enemy","*Basic effect(s)*
- ""Pure Saiyans"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- ATK 90%{passiveImg:up_g}"
1404,Clash between Saiyans,"""Pure Saiyans"" or ""Joined Forces"" Category 
allies' Ki +2 and ATK & DEF +40%; ATK +130% 
when there is a ""Pure Saiyans"" Category enemy","*Basic effect(s)*
- ""Pure Saiyans"" or ""Joined Forces"" Category allies' Ki +2 and
ATK & DEF 40%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- ATK 130%{passiveImg:up_g}"
1405,The Power of a Giant Ape in Human Form,"Ki +1 at start of every turn; ATK & DEF +70%; 
plus an additional DEF +20% with each attack 
performed (up to 80%); plus an additional 
ATK +20% with each attack received (up to 80%)","*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*At the start of each turn*
- {passiveImg:forever}Ki +1
*For every attack performed*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 80%)
*For every attack received*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 80%)"
1406,A Saiyan Protecting Earth,"ATK & DEF +77%; Ki +4 and plus 
an additional DEF +50% when there 
is a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +4 and DEF 50%{passiveImg:up_g}"
1407,A Saiyan Fighting on Earth,"ATK & DEF +77%; Ki +4 and plus 
an additional ATK +50% when there 
is a ""Movie Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
*When there is a ""Movie Bosses"" Category enemy*
- Ki +4 and ATK 50%{passiveImg:up_g}"
1408,Overwhelming Strike,"ATK & DEF +77%; ATK +7% 
per Rainbow Ki Sphere obtained; 
attacks effective against all Types","*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
- Attacks are effective against all Types
*For every Rainbow Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
1409,Skill Copy,"Recovers 14% HP at start of turn; 
ATK +14% and DEF +7% per Ki Sphere obtained","*Basic effect(s)*
- Recovers 14% HP at the start of turn
*For every Ki Sphere obtained*
- ATK 14%{passiveImg:up_g} and DEF 7%{passiveImg:up_g}"
1410,Innocent Request,"All allies' Ki +3 and ATK +40%; chance of evading 
enemy's attack (including Super Attack) +30% per 
""Peppy Gals"" Category ally on the team (up to 60%)","*Basic effect(s)*
- All allies' Ki +3 and ATK 40%{passiveImg:up_g}
*Per ""Peppy Gals"" Category ally on the team*
- Chance of evading enemy's attack 30%{passiveImg:up_g} (up to 60%)"
1411,Pure Dream,"ATK +100% at start of turn; 
""Peppy Gals"" Category allies' Ki +3 and DEF +120%","*Basic effect(s)*
- ATK 100%{passiveImg:up_g}
- ""Peppy Gals"" Category allies' Ki +3 and DEF 120%{passiveImg:up_g}"
1412,Back in the Tournament Groove,"TEQ, INT and STR Type Ki +1 and ATK & DEF +20%; 
Ki +3 and plus an additional ATK & DEF +77% when 
there is a ""World Tournament"" Category enemy","*Basic effect(s)*
- TEQ, INT & STR Type allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*When there is a ""World Tournament"" Category enemy*
- Ki +3 and ATK & DEF 77%{passiveImg:up_g}"
1413,The Most Tenacious in the House,"ATK +80%; medium chance of evading enemy's attack 
(including Super Attack); performs a critical hit as the 
1st attacker in a turn; ATK -80% within the same turn 
after receiving attack","*Basic effect(s)*
- ATK 80%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*As the 1st attacker in a turn*
- Performs a critical hit
*After receiving an attack*
- ATK 80%{passiveImg:down_r} within the turn"
1414,Resistance,"ATK & DEF +80%; 
Ki +2 and an additional ATK +50% when 
there is an ""Androids"" Category enemy","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*When there is an ""Androids"" Category enemy*
- Ki +2 and ATK 50%{passiveImg:up_g}"
1415,Saiyan Radiance,"ATK & DEF +44%, plus an additional ATK +44% when 
attacking; ""Pure Saiyans"" Category allies' DEF +44%","*Basic effect(s)*
- ATK & DEF 44%{passiveImg:up_g}
- ""Pure Saiyans"" Category allies' DEF 44%{passiveImg:up_g}
*When attacking*
- ATK 44%{passiveImg:up_g}"
1416,Robot in the Way,"Ki +1 and ATK & DEF +50% when there is 
a ""Hybrid Saiyans"" Category ally on the team; 
""Dragon Ball Seekers"" Category allies' 
Ki +1 and ATK & DEF +20%","*Basic effect(s)*
- ""Dragon Ball Seekers"" Category allies' Ki +1 and ATK & DEF
20%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category ally on the team*
- Ki +1 and ATK & DEF 50%{passiveImg:up_g}"
1417,Support for the Journey,"Ki +2 and ATK & DEF +60% when there is 
a ""Hybrid Saiyans"" Category ally on the team; 
""Dragon Ball Seekers"" Category allies' 
Ki +2 and ATK & DEF +30%","*Basic effect(s)*
- ""Dragon Ball Seekers"" Category allies' Ki +2 and ATK & DEF
30%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category ally on the team*
- Ki +2 and ATK & DEF 60%{passiveImg:up_g}"
1418,Bursting Forth,"Recovers 33% of damage dealt as HP; 
high chance of reducing damage received by 55%","*Basic effect(s)*
- Recovers 33% of damage dealt as HP
*When receiving an attack*
- High chance of damage reduction rate 55%{passiveImg:up_g} within the
turn"
1419,Intriguing Scheme,"All allies' Ki +2 and ATK & DEF +30% 
at start of turn","*Basic effect(s)*
- All allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}"
1420,Unbeatable Courage,"Ki +1 at start of turn; ATK +50% with a 
great chance of an additional ATK +50% 
when performing a Super Attack","*Basic effect(s)*
- Ki +1
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}
- Great chance of ATK 50%{passiveImg:up_g}"
1421,Unbeatable Courage,"Ki +2 at start of turn; ATK +60% with a 
great chance of an additional ATK & DEF +60% 
when performing a Super Attack","*Basic effect(s)*
- Ki +2
*When attacking with 12 or more Ki*
- ATK 60%{passiveImg:up_g}
- Great chance of ATK & DEF 60%{passiveImg:up_g}"
1422,Miraculous Transformation,"ATK +50%; DEF +20% at start of each turn (up to 50%); 
plus an additional Ki +1 per Rainbow or AGL Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- ATK 50%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
- Receives an additional Ki +1 per AGL Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 50%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1423,Supreme Battle Form,"ATK +60%; DEF +20% at start of each turn (up to 60%); 
plus an additional Ki +1 per Rainbow or AGL Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- ATK 60%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
- Receives an additional Ki +1 per AGL Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 60%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1424,Victory Will Be Mine!,"ATK +80%; DEF +20% at start of each turn (up to 80%); 
plus an additional Ki +2 per Rainbow or AGL Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- ATK 80%{passiveImg:up_g}
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
- Receives an additional Ki +2 per AGL Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 80%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1425,Indomitable Transformation,"DEF +50%; ATK +20% at start of each turn (up to 50%); 
plus an additional Ki +1 per Rainbow or STR Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- DEF 50%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
- Receives an additional Ki +1 per STR Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 50%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1426,Unrivaled Battle Form,"DEF +60%; ATK +20% at start of each turn (up to 60%); 
plus an additional Ki +1 per Rainbow or STR Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- DEF 60%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
- Receives an additional Ki +1 per STR Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 60%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1427,This Isn't the End!,"DEF +80%; ATK +20% at start of each turn (up to 80%); 
plus an additional Ki +2 per Rainbow or STR Ki Sphere 
obtained; medium chance of nullifying enemy's 
Super Attack and countering with tremendous power","*Basic effect(s)*
- DEF 80%{passiveImg:up_g}
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
- Receives an additional Ki +2 per STR Ki Sphere obtained
*At the start of each turn*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 80%)
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power"
1428,Elevated Saiyan Power,"Ki +3 and ATK +100% when Ki is 9 or more; 
DEF +120% and chance of performing a critical hit +40% 
for 4 turns after performing a Super Attack","*When attacking with 9 or more Ki*
- Ki +3 and ATK 100%{passiveImg:up_g}
*After performing a Super Attack*
- DEF 120%{passiveImg:up_g} and chance of performing a critical hit 40%{passiveImg:up_g}
for 4 turn(s)"
1429,Fresh Battle Experience,"ATK +20% and DEF +10% per Ki Sphere obtained; 
plus an additional ATK +7% and Ki +1 per 
Rainbow Ki Sphere obtained","*Basic effect(s)*
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK 20%{passiveImg:up_g} and DEF 10%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
1430,Power of Determination,"Changes STR Ki Spheres to AGL Ki Spheres; 
ATK +17%, DEF +7% and recovers 7777 HP 
per Ki Sphere obtained; plus an additional 
ATK & DEF +3% per Ki Sphere obtained when 
there is a ""Vegeta's Family"" Category enemy","*Basic effect(s)*
- Changes Ki Spheres: STR to AGL
*For every Ki Sphere obtained*
- ATK 17%{passiveImg:up_g} and DEF 7%{passiveImg:up_g} and if there is a ""Vegeta's Family""
Category enemy, plus an additional ATK & DEF 3%{passiveImg:up_g}
- Recovers 7777 HP"
1431,Power of Resolve,"Changes AGL Ki Spheres to STR Ki Spheres; 
ATK & DEF +17% per Ki Sphere obtained; plus an 
additional ATK & DEF +3% per Ki Sphere obtained 
when there is a ""Goku's Family"" Category enemy","*Basic effect(s)*
- Changes Ki Spheres: AGL to STR
*For every Ki Sphere obtained*
- ATK & DEF 17%{passiveImg:up_g} and if there is a ""Goku's Family"" Category
enemy, plus an additional ATK & DEF 3%{passiveImg:up_g}"
1432,All-Out Effort,"Ki +1 at start of each turn and DEF +60% when 
there is a ""Vegeta's Family"" Category enemy; 
ATK & DEF +90% when performing a Super Attack; 
Ki +6 and ATK +60% when HP is 60% or less","*When HP is 60% or less*
- Ki +6 and ATK 60%{passiveImg:up_g}
*When there is a ""Vegeta's Family"" Category enemy*
- DEF 60%{passiveImg:up_g}
- {passiveImg:forever}Ki +1 at the start of each turn
*When attacking with 12 or more Ki*
- ATK & DEF 90%{passiveImg:up_g}"
1433,Warrior's Mettle,"Ki +1 at start of each turn and ATK +60% when 
there is a ""Goku's Family"" Category enemy; 
ATK & DEF +90% when performing a Super Attack; 
Ki +6 and DEF +60% when HP is 60% or less","*When HP is 60% or less*
- Ki +6 and DEF 60%{passiveImg:up_g}
*When there is a ""Goku's Family"" Category enemy*
- ATK 60%{passiveImg:up_g}
- {passiveImg:forever}Ki +1 at the start of each turn
*When attacking with 12 or more Ki*
- ATK & DEF 90%{passiveImg:up_g}"
1434,Secret of Birth,"Raises Ki by up to 6 and ATK & DEF by up to 90% 
(the more HP remaining, the greater the stat boost); 
fuses with Mr. Buu when conditions are met","*The more HP remaining*
- Ki{passiveImg:up_g} (up to +6)
- ATK & DEF{passiveImg:up_g} (up to 90%)
*When HP is 40% or less*
- Fuses with Mr. Buu"
1435,Secret of Birth,"Raises Ki by up to 6 and ATK & DEF by up to 90% 
(the more HP remaining, the greater the stat boost); 
fuses with Mr. Buu when conditions are met","*The more HP remaining*
- Ki{passiveImg:up_g} (up to +6)
- ATK & DEF{passiveImg:up_g} (up to 90%)
*When HP is 40% or less*
- Fuses with Mr. Buu"
1436,Buu and Uub,"Recovers 40% HP (once only); ATK & DEF +100% 
at start of turn; randomly changes Ki Spheres of 
a certain Type to Rainbow Ki Spheres; plus an 
additional Ki +2 per Rainbow Ki Sphere obtained","*Basic effect(s)*
- {passiveImg:once}Recovers 40% HP at the start of turn
- ATK & DEF 100%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained"
1437,Vegeta's Descendant,"ATK & DEF +20% at start of turn; 
ATK +30% for 3 turns after receiving attack","*Basic effect(s)*
- ATK & DEF 20%{passiveImg:up_g}
*After receiving an attack*
- ATK 30%{passiveImg:up_g} for 3 turn(s)"
1438,My Full Strength,"ATK & DEF +40% at start of turn; 
ATK +40% for 4 turns after receiving attack","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*After receiving an attack*
- ATK 40%{passiveImg:up_g} for 4 turn(s)"
1439,My Full Strength,"ATK & DEF +40% at start of turn; 
Ki +1 and ATK +40% for 4 turns 
after receiving attack","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*After receiving an attack*
- Ki +1 and ATK 40%{passiveImg:up_g} for 4 turn(s)"
1440,My Full Strength,"ATK & DEF +60% at start of turn; 
Ki +2 and ATK +50% for 5 turns 
after receiving attack","*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*After receiving an attack*
- Ki +2 and ATK 50%{passiveImg:up_g} for 5 turn(s)"
1441,Miraculous Call,"ATK & DEF +7% per Ki Sphere obtained; 
plus an additional ATK +10% and Ki +1 
per Rainbow Ki Sphere obtained","*Basic effect(s)*
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
1442,Miraculous Call,"ATK & DEF +7% per Ki Sphere obtained; 
plus an additional ATK +15% and Ki +1 
per Rainbow Ki Sphere obtained; randomly 
changes Ki Spheres of a certain Type 
to Rainbow Ki Spheres when there is a 
""Shadow Dragon Saga"" Category enemy","*Basic effect(s)*
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 15%{passiveImg:up_g}
*When there is a ""Shadow Dragon Saga"" Category enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres"
