id,name,itemized_description
2077,Great Wish,"*Basic effect(s)*
- Randomly changes Ki Spheres of a certain Type (TEQ
excluded) to TEQ Ki Spheres
*For every TEQ Ki Sphere obtained*
- ATK 6000{passiveImg:up_g}
*5 or more Ki Spheres obtained*
- Damage reduction rate 50%{passiveImg:up_g}
*Starting from the 7th turn from the start of battle, or when
there is a ""DB Saga"", ""World Tournament"" or ""Dragon Ball
Seekers"" Category enemy*
- Restores youth using the Dragon Balls' power"
2078,Feeling of Boundless Power,"*Basic effect(s)*
- Randomly changes Ki Spheres of a certain Type (TEQ
excluded) to TEQ Ki Spheres
*For every Ki Sphere obtained*
- ATK 6666{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Damage reduction rate 66%{passiveImg:up_g}
*Starting from the 6th turn from the character's entry turn*
- Damage reduction rate 50%{passiveImg:up_g} with 5 or more Ki Spheres
obtained"
2079,Key to Fate,"*Basic effect(s)*
- Ki +2 and ATK & DEF 77%{passiveImg:up_g}
*When HP is 58% or less*
- Ki +7 and ATK 58%{passiveImg:up_g}
- Disables the enemy's guard when attacking
*When there is an ally whose name includes ""Goku"" (Youth,
Captain Ginyu, Jr., etc. excluded) attacking in the same turn*
- Damage reduction rate 58%{passiveImg:up_g}"
2080,You Can Be My Bodyguard!,"*Basic effect(s)*
- ATK & DEF 41%{passiveImg:up_g}
- High chance of evading enemy's attack
*When there is an ally whose name includes ""Goku (Youth)""
attacking in the same turn*
- Ki +9 and ATK & DEF 81%{passiveImg:up_g}"
2081,Evil Shout,"*Basic effect(s)*
- PHY Type allies' Ki +3
- Extreme PHY Type allies' ATK & DEF 50%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type (PHY
excluded) to PHY Ki Spheres
*For every Ki Sphere obtained*
- ATK & DEF 20%{passiveImg:up_g}"
2082,Enlightenment on Sacred Ground,"*Basic effect(s)*
- PHY Type allies' Ki +3
- Super PHY Type allies' ATK & DEF 50%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type (PHY
excluded) to PHY Ki Spheres
*For every Ki Sphere obtained*
- ATK & DEF 20%{passiveImg:up_g}"
2083,Earth's Frontline Defender,"*Basic effect(s)*
- Ki +1 and DEF 15000{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 10000{passiveImg:up_g}
*When facing 2 or more enemies*
- ATK 5000{passiveImg:up_g} per existing enemy (count starts from the 2nd
enemy)"
2084,Earthling's Desperate Struggle,"*Basic effect(s)*
- Ki +2 and DEF 20000{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 15000{passiveImg:up_g}
*When facing 2 or more enemies*
- ATK 7000{passiveImg:up_g} per existing enemy (count starts from the 2nd
enemy)"
2085,Courage in Adversity,"*Basic effect(s)*
- Ki +3 and DEF 30000{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 20000{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK 20000{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +3
*When facing 2 or more enemies*
- ATK 10000{passiveImg:up_g} per existing enemy (count starts from the 2nd
enemy)
*When facing 6 or more enemies*
- Launches an additional Super Attack"
2086,The Power After Limit Break,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- High chance of evading enemy's attack
*For every attack evaded*
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 50%)"
2087,Surging Ki,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- High chance of evading enemy's attack
*For every attack evaded*
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 60%)"
2088,Turn in Tides of Battle,"*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- Great chance of evading enemy's attack
*Starting from the 8th turn from the character's entry turn*
- High chance of evading enemy's attack
*For every attack evaded*
- {passiveImg:forever}Ki +1 (up to +7)
- {passiveImg:forever}ATK & DEF 11%{passiveImg:up_g} (up to 77%)"
2089,Light of Miracles,"*Basic effect(s)*
- Changes Ki Spheres: STR to INT
*For every Ki Sphere obtained*
- ATK & DEF 20%{passiveImg:up_g}
*When there is a ""Realm of Gods"" Category enemy*
- Randomly changes Ki Spheres of a certain Type (INT & STR
excluded) to Rainbow Ki Spheres
*7 or more Ki Spheres obtained*
- Attacks are effective against all Types"
2090,Rampant Malice,"*4 or more Ki Spheres obtained*
- Ki +2 and ATK 90%{passiveImg:up_g}
*When HP is 40% or more*
- Damage reduction rate 90%{passiveImg:up_g}"
2091,Golden Evolution,"*Basic effect(s)*
- ATK & DEF 90%{passiveImg:up_g}
- ""Target: Goku"" Category allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- High chance of performing a critical hit"
2092,Now It's Time for the Real Thing,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*When HP is 78% or more*
- Ki +2
*Per existing enemy*
- ATK & DEF 6000{passiveImg:up_g}"
2093,Now You'll See What I Can Really Do,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*When HP is 78% or more*
- Ki +3
*Per existing enemy*
- ATK & DEF 7000{passiveImg:up_g}"
2094,Elite Warrior of the Nobility,"*Basic effect(s)*
- ATK & DEF 78%{passiveImg:up_g}
*When HP is 78% or more*
- Ki +5
*After evading an attack*
- ATK 78%{passiveImg:up_g}
*Per existing enemy*
- ATK & DEF 7800{passiveImg:up_g}
*Starting from the 4th turn from the start of battle*
- Exchanges with Vegeta when HP is 50% or less"
2095,Elite Warrior of the Nobility,"*Basic effect(s)*
- ATK & DEF 78%{passiveImg:up_g}
*When HP is 78% or more*
- Ki +5
*After evading an attack*
- ATK 78%{passiveImg:up_g}
*Per existing enemy*
- ATK & DEF 7800{passiveImg:up_g}
*Starting from the 4th turn from the start of battle*
- Exchanges with Vegeta when HP is 50% or less"
2096,The Prince Cometh,"*Basic effect(s)*
- {passiveImg:once}Recovers 50% HP
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +3 and ATK & DEF 18%{passiveImg:up_g}
*When attacking a Super Class enemy*
- Ki +3 and ATK & DEF 18%{passiveImg:up_g}
*When attacking with 24 Ki*
- Attacks are effective against all Types"
2097,Strength Testing,"*When attacking with 12 or more Ki*
- ATK & DEF 90%{passiveImg:up_g}
*When facing only 1 enemy*
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When the target enemy is in the following status: {passiveImg:def_down}*
- ATK & DEF 40%{passiveImg:up_g}"
2098,Brothers in Arms,"*Basic effect(s)*
- Changes Ki Spheres: STR to AGL
- ATK & DEF 60%{passiveImg:up_g}
- ""Siblings' Bond"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*When another 2 or more ""Vegeta's Family"" Category allies
are on the team*
- Chance of evading enemy's attack 30%{passiveImg:up_g}"
2099,Fusion Complete,"*Basic effect(s)*
- ATK & DEF 90%{passiveImg:up_g}"
2100,Big Power-Up,"*Basic effect(s)*
- Ki +1 and ATK & DEF 100%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Transforms"
2101,Big Power-Up,"*Basic effect(s)*
- Ki +1 and ATK & DEF 100%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Transforms"
2102,Special Finish,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- High chance of ATK 50%{passiveImg:up_g}
- High chance of ATK 50%{passiveImg:up_g}
- High chance of DEF 50%{passiveImg:up_g}
- High chance of DEF 50%{passiveImg:up_g}
- Medium chance of launching an additional Super Attack"
2103,Scintillating Finish,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 100%{passiveImg:up_g}
*For 4 turn(s) from the character's entry turn*
- Ki +3
- Great chance of launching an additional Super Attack"
2104,Smoke of Rage,"*Basic effect(s)*
- ATK 90%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}"
2105,Dangerous Entity,"*Basic effect(s)*
- Ki +1 and ATK 100%{passiveImg:up_g}
- Damage reduction rate 40%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Exchanges with Majin Buu (Pure Evil)"
2106,Dangerous Entity,"*Basic effect(s)*
- Ki +1 and ATK 100%{passiveImg:up_g}
- Damage reduction rate 40%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Exchanges with Majin Buu (Pure Evil)"
2107,Behind the Smoke,"*Basic effect(s)*
- Ki +2 and ATK 150%{passiveImg:up_g}
- Damage reduction rate 40%{passiveImg:up_g}
- High chance of stunning the attacked enemy
- Medium chance of evading enemy's attack"
2108,Beast of Destruction,"*Basic effect(s)*
- Ki +3 and ATK 220%{passiveImg:up_g}
- Damage reduction rate 50%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Chance of performing a critical hit 12%{passiveImg:up_g}"
2109,Full of Courage,"*Basic effect(s)*
- ATK 120%{passiveImg:up_g}
- Damage reduction rate 40%{passiveImg:up_g}
*When there is an ally whose name includes ""Trunks (Kid)"" or
""Krillin"" (Youth excluded) attacking in the same turn*
- ATK 70%{passiveImg:up_g} and damage reduction rate 30%{passiveImg:up_g} when
attacking with 12 or more Ki"
2110,Full of Perseverance,"*Basic effect(s)*
- ATK 120%{passiveImg:up_g}
- Damage reduction rate 40%{passiveImg:up_g}
*When there is an ally whose name includes ""Goten (Kid)"" or
""Krillin"" (Youth excluded) attacking in the same turn*
- ATK 70%{passiveImg:up_g} and damage reduction rate 30%{passiveImg:up_g} when
attacking with 12 or more Ki"
2111,Majin on the Warpath,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
- High chance of evading enemy's attack"
2112,Moment as a Father,"*Basic effect(s)*
- DEF 60%{passiveImg:up_g}
- ""Goku's Family"" Category allies' ATK & DEF 10%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- ATK 100%{passiveImg:up_g}
*When there is an ally whose name includes ""Goten (Kid)""
attacking in the same turn*
- ATK & DEF 40%{passiveImg:up_g}"
2113,A Father's Role,"*Basic effect(s)*
- DEF 70%{passiveImg:up_g}
- ""Goku's Family"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- ATK 120%{passiveImg:up_g}
*Starting from the 8th turn from the start of battle*
- High chance of evading enemy's attack
*When there is an ally whose name includes ""Goten (Kid)""
attacking in the same turn*
- ATK & DEF 59%{passiveImg:up_g}"
2114,Final Request,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- ""Goku's Family"" Category allies' ATK & DEF 20%{passiveImg:up_g}
*When there is an ally whose name includes ""Goku (Angel)""
attacking in the same turn*
- Ki +3"
2115,Final Promise,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- ""Goku's Family"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
*When there is an ally whose name includes ""Goku (Angel)"" or
""Trunks (Kid)"" attacking in the same turn*
- Ki +5
- All allies' ATK & DEF 10%{passiveImg:up_g}"
2116,Father-Son Reunion,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*When there is another ""Goku's Family"" Category ally
attacking in the same turn*
- ATK & DEF 50%{passiveImg:up_g}
- Medium chance of launching an additional Super Attack"
2117,Father's Gi,"*Basic effect(s)*
- ATK & DEF 58%{passiveImg:up_g}
- ""Goku's Family"" Category allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g}
*When there is another ""Goku's Family"" Category ally
attacking in the same turn*
- ATK & DEF 58%{passiveImg:up_g}
- High chance of launching an additional Super Attack"
2118,Magic Power Control,"*Basic effect(s)*
- Ki +3 and ATK & DEF 88%{passiveImg:up_g}
- ""Majin Power"" Category allies' Ki +3 and ATK & DEF 30%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Ki +3 and ATK & DEF 40%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:stun} or {passiveImg:astute}*
- Ki +3
- High chance of performing a critical hit"
2119,Punishment of Fools,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*When facing 2 or more enemies*
- Ki +6 and ATK & DEF 40%{passiveImg:up_g}
- Super Class enemies' DEF 10%{passiveImg:down_y}"
2120,Punishment of Fools,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*When facing 2 or more enemies*
- Ki +6 and ATK & DEF 60%{passiveImg:up_g}
- Super Class enemies' ATK & DEF 10%{passiveImg:down_y}"
2121,Blistering Tenacity,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*When there is a ""Goku's Family"" Category enemy*
- Guards all attacks
*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
2122,United Attack Begins,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- ""Revenge"" Category allies' ATK 20%{passiveImg:up_g} and DEF 10%{passiveImg:up_g}
*When there is another ""Wicked Bloodline"" Category ally
attacking in the same turn*
- ATK & DEF 50%{passiveImg:up_g}"
2123,Appreciation for Goku,"*After receiving an attack*
- ATK 150%{passiveImg:up_g} and guards all attacks for 3 turn(s)
*For every attack received*
- {passiveImg:forever}Damage reduction rate 8%{passiveImg:up_g} (up to 40%)
*When there is a ""Goku's Family"" Category ally on the team*
- ATK & DEF 120%{passiveImg:up_g}"
2124,Whole Other Level,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Super Class allies' ATK & DEF 30%{passiveImg:up_g}
*As the 1st attacker in a turn*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
- Great chance of evading enemy's attack"
2125,New Body and Personality,"*Basic effect(s)*
- DEF 90%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 90%{passiveImg:up_g}"
2126,This Feels Great!,"*Basic effect(s)*
- DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 100%{passiveImg:up_g}
*6 or more Ki Spheres obtained*
- ATK 50%{passiveImg:up_g}
- High chance of evading enemy's attack
*Starting from the 3rd turn from the start of battle*
- Transforms"
2127,This Feels Great!,"*Basic effect(s)*
- DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 100%{passiveImg:up_g}
*6 or more Ki Spheres obtained*
- ATK 50%{passiveImg:up_g}
- High chance of evading enemy's attack
*Starting from the 3rd turn from the start of battle*
- Transforms"
2128,I Will Crank It Up!,"*Basic effect(s)*
- DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 150%{passiveImg:up_g}
*6 or more Ki Spheres obtained*
- ATK 50%{passiveImg:up_g}
- High chance of evading enemy's attack
*When HP is 60% or more starting from the next attacking
turn*
- Transforms"
2129,I Will Crank It Up!,"*Basic effect(s)*
- DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 150%{passiveImg:up_g}
*6 or more Ki Spheres obtained*
- ATK 50%{passiveImg:up_g}
- High chance of evading enemy's attack
*When HP is 60% or more starting from the next attacking
turn*
- Transforms"
2130,I'm the Strongest!,"*Basic effect(s)*
- Ki +2 and DEF 160%{passiveImg:up_g}
- High chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK 160%{passiveImg:up_g}
*6 or more Ki Spheres obtained*
- Launches an additional Super Attack"
2131,Power of Regulation,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
- Medium chance of evading enemy's attack
- ""Universe 6"", ""Realm of Gods"", ""Siblings' Bond"" or ""Bond of
Master and Disciple"" Category allies' ATK & DEF 10%{passiveImg:up_g}"
2132,Power of Admonition,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- High chance of evading enemy's attack
- ""Universe 6"", ""Realm of Gods"", ""Siblings' Bond"" or ""Bond of
Master and Disciple"" Category allies' ATK & DEF 20%{passiveImg:up_g}
*When there is another ""Universe 6"" Category ally attacking
in the same turn*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres"
2133,Enhanced Sensitivity,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*Per ""Universe 6"" or ""Peppy Gals"" Category ally on the team*
- Chance of evading enemy's attack 8%{passiveImg:up_g}
*When there is a ""Universe Survival Saga"" or ""Pure Saiyans""
Category enemy*
- Evades enemy's attack
*When there is an ally whose name includes ""Kale"" attacking
in the same turn*
- Launches an additional attack that has a medium chance of
becoming a Super Attack"
2134,Wavering Emotions,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*Per ""Pure Saiyans"" or ""Peppy Gals"" Category ally on the
team*
- ATK & DEF 10%{passiveImg:up_g}
*When there is a ""Universe Survival Saga"" or ""Pure Saiyans""
Category enemy*
- Launches an additional Super Attack
*When there is an ally whose name includes ""Caulifla""
attacking in the same turn*
- Guards all attacks"
2135,Blistering Tenacity,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*When there is a ""Goku's Family"" Category enemy*
- Guards all attacks
- All allies' Ki +2
*After guard is activated*
- Damage reduction rate 40%{passiveImg:up_g}"
2136,Blistering Tenacity,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*When there is a ""Goku's Family"" Category enemy*
- Guards all attacks
- All allies' Ki +2 and ATK & DEF 20%{passiveImg:up_g}
*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
2137,Rapid Conquest,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- Launches an additional attack that has a rare chance of
becoming a Super Attack
*When there is a ""Goku's Family"" Category enemy*
- Attacks are effective against all Types
- All allies' Ki +2"
2138,Rapid Conquest,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When there is a ""Goku's Family"" Category enemy*
- Attacks are effective against all Types
- All allies' Ki +2
- Enemy's ATK & DEF 20%{passiveImg:down_y}"
2139,Super Aggressive,"*Per ""Universe Survival Saga"" Category ally on the team*
- ATK & DEF 20%{passiveImg:up_g} (up to 80%)
- Chance of evading enemy's attack 15%{passiveImg:up_g} (up to 60%)
*When there is an ally whose name includes ""Kale"" on the
team*
- ATK 50%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack if that ally is attacking in the same
turn"
2140,Caulifla's Trust,"*Basic effect(s)*
- ""Universe Survival Saga"" Category allies' Ki +2 and ATK &
DEF 30%{passiveImg:up_g}
*When there is an ally whose name includes ""Caulifla"" on the
team*
- DEF 50%{passiveImg:up_g}
- All allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g} if that ally is attacking
in the same turn"
2141,Eternal Domination,"*Basic effect(s)*
- Ki +1 and ATK & DEF 70%{passiveImg:up_g}
*When facing 2 or more enemies*
- ATK & DEF 30%{passiveImg:up_g}
*When HP is 30% or less at the start of turn*
- Recovers 30% HP"
2142,Eternal Domination,"*Basic effect(s)*
- Ki +2 and ATK & DEF 80%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 20%)
*When facing 2 or more enemies*
- ATK & DEF 30%{passiveImg:up_g}
*When HP is 30% or less at the start of turn*
- Recovers 30% HP"
2143,Eternal Domination,"*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 30%)
*When facing 2 or more enemies*
- ATK & DEF 30%{passiveImg:up_g}
*When HP is 30% or less at the start of turn*
- Recovers 30% HP"
2144,Piccolo's Power,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*When HP is 70% or less*
- Ki +3 and ATK & DEF 70%{passiveImg:up_g}
*When ""Piccolo"" is on the team*
- ATK 30%{passiveImg:up_g}"
2145,Piccolo's Power,"*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
*When HP is 77% or less*
- Ki +3 and ATK & DEF 77%{passiveImg:up_g}
*When ""Piccolo"" is on the team*
- ATK 33%{passiveImg:up_g}
- High chance of performing a critical hit"
2146,Adaptive Combat,"*Basic effect(s)*
- ATK 120%{passiveImg:up_g} and DEF 60%{passiveImg:up_g}
- High chance of evading enemy's attack
*When receiving a Super Attack*
- Medium chance of nullifying it and countering with
tremendous power
*When there is an ally whose name includes ""Kale"" attacking
in the same turn*
- Attacks are effective against all Types"
2147,True Saiyan Form,"*Basic effect(s)*
- ATK 160%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
*For 6 turn(s) from the character's entry turn*
- Damage reduction rate 60%{passiveImg:up_g}
*Starting from the 7th turn from the start of battle*
- Damage reduction rate 60%{passiveImg:up_g} with 6 or more PHY
Ki Spheres obtained"
2148,Differing Methods,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 5%{passiveImg:up_g}
*1 or more Rainbow Ki Spheres obtained*
- Launches an additional attack"
2149,Differing Objectives,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- Receives an additional Ki +1 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 6%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Launches an additional attack (up to 2 time(s) within a turn)"
2150,Warped Cooperation,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Chance of performing a critical hit 7%{passiveImg:up_g}
- Launches an additional attack (up to 3 time(s) within a turn)"
2151,Training With Android #18,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When your team has ""Android #18"" attacking in the same
turn*
- ATK & DEF 80%{passiveImg:up_g}"
2152,Teaming Up With Android #18,"*Basic effect(s)*
- ATK & DEF 180%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When your team has ""Android #18"" attacking in the same
turn*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:stun}*
- Attacks are effective against all Types"
2153,Scratching and Biting,"*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
- ""Special Pose"" Category allies' ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Rozie"" attacking in the same turn*
- {passiveImg:forever}DEF 10%{passiveImg:up_g} at the start of each turn"
2154,Unfettered Assault,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Rozie"" attacking in the same turn*
- {passiveImg:forever}DEF 10%{passiveImg:up_g} at the start of each turn"
2155,Power Strike,"*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
- ""Special Pose"" Category allies' ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Kakunsa"" attacking in the same turn*
- {passiveImg:forever}ATK 10%{passiveImg:up_g} at the start of each turn"
2156,Unpredictable Technique,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Kakunsa"" attacking in the same turn*
- {passiveImg:forever}ATK 10%{passiveImg:up_g} at the start of each turn"
2157,The Power of Everyone's Love,"*Per ""Peppy Gals"" Category ally on the team*
- ATK & DEF 20%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Recovers 12000 HP
*When there is an ally whose name includes ""Rozie"" or
""Kakunsa"" attacking in the same turn*
- ATK & DEF 20%{passiveImg:up_g}"
2158,The Power of Everyone's Love,"*Per ""Peppy Gals"" Category ally on the team*
- ATK & DEF 22%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- Recovers 22222 HP
*When there is an ally whose name includes ""Rozie"" or
""Kakunsa"" attacking in the same turn*
- ATK & DEF 22%{passiveImg:up_g}
- Chance of performing a critical hit 22%{passiveImg:up_g}
- Chance of evading enemy's attack 22%{passiveImg:up_g}"
2159,Unfettered Assault,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +1 and ATK & DEF 12%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Rozie"" attacking in the same turn*
- {passiveImg:forever}DEF 12%{passiveImg:up_g} at the start of each turn"
2160,Unfettered Assault,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +2 and ATK & DEF 22%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Rozie"" attacking in the same turn*
- {passiveImg:forever}DEF 22%{passiveImg:up_g} at the start of each turn
- High chance of stunning the attacked enemy"
2161,Unpredictable Technique,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +1 and ATK & DEF 12%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Kakunsa"" attacking in the same turn*
- {passiveImg:forever}ATK 12%{passiveImg:up_g} at the start of each turn"
2162,Unpredictable Technique,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""Special Pose"" Category allies' Ki +2 and ATK & DEF 22%{passiveImg:up_g}
*When there is an ally whose name includes ""Ribrianne"" or
""Kakunsa"" attacking in the same turn*
- {passiveImg:forever}ATK 22%{passiveImg:up_g} at the start of each turn
- Seals the attacked enemy's Super Attack"
2163,Crucial Battle,"*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
*As the 1st attacker in a turn*
- Ki +3 and DEF 59%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK 59%{passiveImg:up_g}
*When attacking an Extreme Class enemy*
- All allies' Ki +3"
2164,Overflowing Power,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 12%{passiveImg:up_g}
- DEF 6%{passiveImg:down_r}
*3 or more TEQ Ki Spheres obtained*
- Medium chance of launching an additional Super Attack"
2165,Battle Professionals,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
- ""Universe 11"" Category allies' ATK & DEF 20%{passiveImg:up_g}
*When there is another ""Universe 11"" Category ally attacking
in the same turn*
- ATK & DEF 30%{passiveImg:up_g}"
2166,Oath Between Allies,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""Universe 11"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
*When there is another ""Universe 11"" Category ally attacking
in the same turn*
- ATK & DEF 40%{passiveImg:up_g}"
2167,Past Trauma,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +2)"
2168,Meaning of Victory,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +3)
*When the target enemy is in the following status: {passiveImg:atk_down}*
- Attacks are effective against all Types"
2169,Value of Victory,"*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +5)
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Attacks are effective against all Types
*When the target enemy is in the following status: {passiveImg:stun}*
- Performs a critical hit"
