id,name,exec_timing_type,efficacy_type,target_type,sub_target_type_set_id,passive_skill_effect_id,calc_option,turn,is_once,probability,causality_conditions,eff_value1,eff_value2,eff_value3,efficacy_values
2002148,Differing Methods,1,68,1,0,,2,1,0,100,,63,3,5,{}
2002149,Differing Objectives,1,68,1,0,,2,1,0,100,,63,3,6,{}
2002150,Warped Cooperation,1,68,1,0,,2,1,0,100,,63,3,7,{}
2002151,Training With Android #18,1,3,1,0,,2,1,0,100,"{""source"": ""668"", ""compiled"": 668}",80,80,0,{}
2002152,Teaming Up With Android #18,1,5,1,0,,0,1,0,100,"{""source"": ""668"", ""compiled"": 668}",2,0,0,{}
2002153,Scratching and Biting,1,98,1,0,,2,99,0,100,"{""source"": ""670|672"", ""compiled"": [""|"", 670, 672]}",10,10000,1,{}
2002154,Unfettered Assault,1,5,2,121,,0,1,0,100,,1,0,0,{}
2002155,Power Strike,1,98,1,0,,2,99,0,100,"{""source"": ""670|671"", ""compiled"": [""|"", 670, 671]}",10,10000,0,{}
2002156,Unpredictable Technique,1,5,2,121,,0,1,0,100,,1,0,0,{}
2002157,The Power of Everyone's Love,1,3,1,0,,2,1,0,100,"{""source"": ""78"", ""compiled"": 78}",20,20,0,{}
2002158,The Power of Everyone's Love,1,3,1,0,,2,1,0,100,"{""source"": ""78"", ""compiled"": 78}",22,22,0,{}
2002159,Unfettered Assault,1,5,2,121,,0,1,0,100,,1,0,0,{}
2002160,Unfettered Assault,1,5,2,121,,0,1,0,100,,2,0,0,{}
2002161,Unpredictable Technique,1,5,2,121,,0,1,0,100,,1,0,0,{}
2002162,Unpredictable Technique,1,5,2,121,,0,1,0,100,,2,0,0,{}
2002163,Crucial Battle,3,2,1,0,,2,1,0,100,"{""source"": ""674"", ""compiled"": 674}",59,0,0,{}
2002164,Overflowing Power,1,60,1,0,,3,1,0,100,,6,0,0,{}
2002165,Battle Professionals,1,3,2,132,,2,1,0,100,,20,20,0,{}
2002166,Oath Between Allies,1,5,2,132,,0,1,0,100,,1,0,0,{}
2002168,Meaning of Victory,4,76,1,0,,0,1,0,100,"{""source"": ""421"", ""compiled"": 421}",0,0,0,{}
2002169,Value of Victory,4,76,1,0,,0,1,0,100,"{""source"": ""421|422"", ""compiled"": [""|"", 421, 422]}",0,0,0,{}
2002170,Numbing Pressure,1,78,1,0,,0,1,0,100,"{""source"": ""680"", ""compiled"": 680}",0,0,0,{}
2002171,Light to Smite Evil,1,78,1,0,,0,1,0,100,"{""source"": ""680"", ""compiled"": 680}",0,0,0,{}
2002172,Power from Confirmed Resolution,1,3,1,0,,2,1,0,100,,70,70,0,{}
2002173,Speed of Light,7,1,1,0,,2,1,0,100,"{""source"": ""601"", ""compiled"": 601}",20,0,0,{}
2002174,Moved to Tears,1,61,1,0,,2,1,0,100,,7,7,0,{}
2002175,Trusty Power Pole and Flying Nimbus,1,3,12,0,,2,1,0,100,,30,30,0,{}
2002176,Reunited Duo,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002177,Respective Inner Conflicts,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002178,A Common Goal,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002179,Invincible Fusion Father,1,90,1,0,,0,1,0,100,,30,0,0,{}
2002180,Plan,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002181,Concept,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002182,Evil Scheme,1,96,1,0,,0,1,0,100,,31,1,0,{}
2002183,Potential of Evil,1,81,1,0,,0,1,0,100,,0,0,30,{}
2002184,Ally's Aid,4,1,1,0,,2,1,0,100,"{""source"": ""47"", ""compiled"": 47}",50,0,0,{}
2002185,Ally's Backup,4,1,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",70,0,0,{}
2002186,Majin's Calculations,1,3,1,0,,2,1,0,100,,100,100,0,{}
2002187,Majin's Scheme,1,3,1,0,,2,1,0,100,,150,150,0,{}
2002188,Nightmarish Mechanism,7,98,1,0,,0,99,0,100,"{""source"": ""24"", ""compiled"": 24}",1,3,5,{}
2002189,Full-Power Body,1,73,1,0,,2,1,0,100,,10,100,1100,{}
2002190,Elegant Leap,5,1,3,0,,3,1,0,100,,20,0,0,{}
2002191,Magnificent Leap,5,1,3,0,,3,2,0,100,,20,0,0,{}
2002192,Pursuit of Coolness,4,3,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",30,30,0,{}
2002193,Battle for Victory,1,2,1,0,,2,1,0,100,"{""source"": ""9"", ""compiled"": 9}",80,0,0,{}
2002194,Filial Piety In the Past,1,91,1,0,,2,1,0,100,,30,0,0,{}
2002195,Self-Realization,4,3,1,0,,2,1,0,100,"{""source"": ""47"", ""compiled"": 47}",60,60,0,{}
2002204,Sacred Realm's Mightiest Sword,1,78,1,0,,0,1,0,100,,0,0,0,{}
2002205,Elder Kai's Ritual,1,78,1,0,,0,1,0,100,,0,0,0,{}
2002206,Elder Kai's Power-Up,1,78,1,0,,0,1,0,100,,0,0,0,{}
2002207,Mortal-World Inspection,1,91,1,0,,2,1,0,100,,30,0,0,{}
2002208,Situational Awareness,5,3,3,0,,3,2,0,100,,30,30,0,{}
2002209,End to Chaos,1,3,4,0,,3,1,1,100,,20,20,0,{}
2002210,Divine Endeavor,1,3,2,14,,2,1,0,100,,40,40,0,{}
2002211,"""Rock"" of Victory",4,3,1,0,,2,1,0,100,,90,90,0,{}
2002212,"""Scissors"" of Humiliation",4,3,1,0,,2,1,0,100,,20,20,0,{}
2002213,Malicious Telepathy,1,98,1,0,,2,99,0,100,"{""source"": ""696|697"", ""compiled"": [""|"", 696, 697]}",30,90,1,{}
2002214,Vegeta's Inner Thoughts,4,3,1,0,,2,1,0,100,"{""source"": ""555"", ""compiled"": 555}",3,3,0,{}
2002215,Vegeta's Choice,4,3,1,0,,2,1,0,100,"{""source"": ""555"", ""compiled"": 555}",4,4,0,{}
2002216,Vegeta's Determination,4,3,1,0,,2,1,0,100,"{""source"": ""504"", ""compiled"": 504}",4,4,0,{}
2002217,A Living Super Saiyan 3,1,103,1,0,,0,1,0,100,"{""source"": ""42"", ""compiled"": 42}",4020631,2,1625,{}
2002218,A Living Super Saiyan 3,1,103,1,0,,0,1,0,100,"{""source"": ""42"", ""compiled"": 42}",4020631,2,1625,{}
2002219,Everyone's Help,15,76,1,0,,0,1,0,100,"{""source"": ""665"", ""compiled"": 665}",0,0,0,{}
2002220,Everyone's Help,1,68,1,0,,2,1,0,100,,32,1,30,{}
2002221,My Mighty Power,1,3,2,17,,2,1,0,100,,10,10,0,{}
2002222,My Mighty Power,1,3,2,17,,2,1,0,100,,20,20,0,{}
2002223,Divergence of Good and Evil,1,5,2,17,,0,1,0,100,,2,0,0,{}
2002224,Divergence of Good and Evil,1,5,2,17,,0,1,0,100,,2,0,0,{}
2002225,Warrior's Resolve,1,5,1,0,,0,1,0,100,,1,0,0,{}
2002226,Redemption,7,98,1,0,,2,99,0,100,"{""source"": ""24"", ""compiled"": 24}",22,66,0,{}
2002227,Familial Friendship,4,1,1,0,,2,1,0,100,"{""source"": ""715"", ""compiled"": 715}",58,0,0,{}
2002229,A Living Super Saiyan 3,1,103,1,0,,0,1,0,100,"{""source"": ""42"", ""compiled"": 42}",4020630,2,1624,{}
2002230,A Living Super Saiyan 3,1,103,1,0,,0,1,0,100,"{""source"": ""42"", ""compiled"": 42}",4020631,2,1625,{}
2002231,Everyone's Help,15,76,1,0,,0,1,0,100,"{""source"": ""665"", ""compiled"": 665}",0,0,0,{}
2002233,My Mighty Power,1,3,2,17,,2,1,0,100,,10,10,0,{}
2002234,My Mighty Power,1,3,2,17,,2,1,0,100,,10,10,0,{}
2002235,Divergence of Good and Evil,1,5,2,17,,0,1,0,100,,2,0,0,{}
2002236,High-Speed Rotation,4,3,1,0,,2,1,0,100,"{""source"": ""421|422"", ""compiled"": [""|"", 421, 422]}",60,60,0,{}
2002239,Unreasonable Demand,1,3,1,0,,2,6,1,100,,60,60,0,{}
2002240,The Bond with Majin Buu,1,5,1,0,,0,3,1,100,,3,0,0,{}
2002241,Reputation in the Village,1,98,1,0,,2,99,0,100,,20,40,1,{}
2002242,Strength When It Counts,1,98,1,0,,2,99,0,100,,20,60,1,{}
2002243,Strength When It Counts,1,98,1,0,,2,99,0,100,,30,90,1,{}
2002244,Strength When It Counts,1,98,1,0,,2,99,0,100,,30,120,1,{}
2002245,My Mighty Power,1,3,2,17,,2,1,0,100,,20,20,0,{}
2002246,My Mighty Power,1,3,2,17,,2,1,0,100,,20,20,0,{}
2002247,Divergence of Good and Evil,1,5,2,17,,0,1,0,100,,2,0,0,{}
2002248,Two Generations Brought Together,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",20,40,1,{}
2002249,Two Generations Fighting as One,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",20,80,1,{}
2002250,Unique Partnership,7,91,1,0,,2,1,0,100,"{""source"": ""24"", ""compiled"": 24}",30,0,0,{}
2002251,Brutal Strength,7,91,1,0,,2,1,0,100,"{""source"": ""24"", ""compiled"": 24}",30,0,0,{}
2002252,Calm Strength,1,13,1,0,,0,1,0,100,"{""source"": ""722"", ""compiled"": 722}",50,0,0,{}
2002253,Obsession with Vengeance,1,13,1,0,,0,1,0,100,"{""source"": ""720"", ""compiled"": 720}",60,0,0,{}
2002254,Conquest of the Otherworld,1,76,1,0,,0,1,0,100,"{""source"": ""720"", ""compiled"": 720}",0,0,0,{}
2002256,Painstaking Preparations,7,90,1,0,,0,1,0,100,"{""source"": ""24"", ""compiled"": 24}",100,0,0,{}
2002257,Single-Mindedness,1,5,13,123,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1,0,0,{}
2002258,Frontal Breakthrough,1,68,1,0,,2,1,0,100,,2,1,15,{}
2002259,Frontal Breakthrough,1,68,1,0,,2,1,0,100,,2,1,20,{}
2002260,Joyous Frolic,1,68,1,0,,0,1,0,100,,32,2,8888,{}
2002261,Joyous Frolic,1,68,1,0,,0,1,0,100,,32,2,9999,{}
2002262,Warm Love,1,91,1,0,,2,1,0,100,"{""source"": ""363|364"", ""compiled"": [""|"", 363, 364]}",50,0,0,{}
2002263,Martial Arts of a Name Withheld,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",3,0,0,{}
2002264,Tasks from Piccolo,1,98,1,0,,2,99,0,100,"{""source"": ""348"", ""compiled"": 348}",20,80,0,{}
2002265,Expendable Low-Class Warrior,1,3,2,94,,2,1,0,100,,10,10,0,{}
2002266,Evolved Low-Class Warrior,1,3,2,94,,2,1,0,100,,20,20,0,{}
2002267,Super Combat Group,1,3,2,94,,2,1,0,100,,30,30,0,{}
2002268,Quick-Witted Assessment,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",50,0,0,{}
2002269,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",60,0,0,{}
2002270,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",60,0,0,{}
2002271,Quick-Witted Assessment,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",50,0,0,{}
2002272,Quick-Witted Assessment,11,78,1,0,,0,1,0,30,"{""source"": ""735|736"", ""compiled"": [""|"", 735, 736]}",0,0,0,{}
2002273,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",70,0,0,{}
2002274,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",77,0,0,{}
2002277,Bulma's Idea,1,79,1,0,,0,1,1,100,"{""source"": ""731&732"", ""compiled"": [""&"", 731, 732]}",4021390,627,628,{}
2002278,Bulma's Idea,1,79,1,0,,0,1,1,100,"{""source"": ""731&732"", ""compiled"": [""&"", 731, 732]}",4021391,627,628,{}
2002280,End of Everything,4,2,1,0,,2,1,0,100,"{""source"": ""737|738"", ""compiled"": [""|"", 737, 738]}",50,0,0,{}
2002281,Special Countermeasure,1,3,2,147,,2,1,0,100,,10,10,0,{}
2002282,Strongest Countermeasure,1,3,2,149,,2,1,0,100,,20,20,0,{}
2002285,Clash in Another World,1,76,1,0,,0,1,0,100,"{""source"": ""50"", ""compiled"": 50}",0,0,0,{}
2002286,Courageous Saiyan Power,5,9,3,0,,0,1,0,50,"{""source"": ""630"", ""compiled"": 630}",0,0,0,{}
2002287,Research Results,1,3,2,0,,2,1,0,100,,20,20,0,{}
2002288,Destructive Sorcery,1,3,2,0,,2,1,0,100,,30,30,0,{}
2002289,Resurrected Demon Lord,5,3,3,0,,3,1,0,100,"{""source"": ""9"", ""compiled"": 9}",20,20,0,{}
2002290,Demon Lord to a Demon God,5,3,3,0,,3,2,0,100,"{""source"": ""9"", ""compiled"": 9}",20,20,0,{}
2002291,The One Who Vanquishes Evil,1,3,1,0,,2,4,1,100,,40,40,0,{}
2002292,Power to Annihilate Evil,1,3,1,0,,2,8,1,100,,40,40,0,{}
2002293,Last Ally,1,2,12,2,,2,1,0,100,,20,0,0,{}
2002294,Chain of Flames,4,3,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",40,40,0,{}
2002295,Demon God's Mission,1,1,1,0,,2,1,0,100,"{""source"": ""748"", ""compiled"": 748}",10,0,0,{}
2002296,Demon God's Pride,1,1,1,0,,2,1,0,100,"{""source"": ""748"", ""compiled"": 748}",15,0,0,{}
2002297,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",77,0,0,{}
2002298,Feats of Valor,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",77,0,0,{}
2002299,Dark Magical Powers,1,2,13,0,,2,1,0,100,,30,0,0,{}
2002300,Black Masked Destroyer,1,1,1,0,,2,1,0,100,"{""source"": ""750"", ""compiled"": 750}",60,0,0,{}
2002301,Dark Mask's Ominous Aura,1,78,1,0,,0,1,0,100,"{""source"": ""756"", ""compiled"": 756}",0,0,0,{}
2002302,Cold Stare,5,3,3,0,,3,2,0,100,,20,20,0,{}
2002303,Shadowy Strength,1,1,1,0,,2,1,0,100,"{""source"": ""67"", ""compiled"": 67}",50,0,0,{}
2002304,History in Chaos,5,9,3,0,,0,1,0,50,,0,0,0,{}
2002305,History in Chaos,5,9,3,0,,0,1,0,50,,0,0,0,{}
2002307,Kiri Usage,1,3,2,0,,2,1,0,100,"{""source"": ""759"", ""compiled"": 759}",5,5,0,{}
2002308,Born to Battle,5,98,1,0,,0,99,0,100,"{""source"": ""435"", ""compiled"": 435}",1,3,5,{}
2002309,Born to Battle,5,98,1,0,,0,99,0,100,"{""source"": ""435"", ""compiled"": 435}",1,3,5,{}
2002310,Desire to Win,1,5,1,0,,0,1,0,100,"{""source"": ""757"", ""compiled"": 757}",3,0,0,{}
2002311,Fitting Do-Over,5,98,1,0,,2,99,0,100,,20,100,1,{}
2002315,Bloodthirsty Devil,1,3,2,152,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",5,5,0,{}
2002316,Cosmic Ruffian,1,3,2,152,,2,1,0,100,,30,30,0,{}
2002317,Unmatched in the Galaxy,1,81,1,0,,0,1,0,100,,0,0,30,{}
2002318,Galactic Warrior's Declaration of War,1,3,1,0,,2,1,0,100,"{""source"": ""770"", ""compiled"": 770}",20,20,0,{}
2002319,Galactic Warrior's Loyalty,1,3,1,0,,2,1,0,100,"{""source"": ""770"", ""compiled"": 770}",30,30,0,{}
2002320,Overwhelming Radiance,15,91,1,0,,2,1,0,100,"{""source"": ""665"", ""compiled"": 665}",30,0,0,{}
2002321,Godly Eruption,1,90,2,0,,2,1,0,100,"{""source"": ""776"", ""compiled"": 776}",7,0,0,{}
2002322,Shattering War Cry,1,3,1,0,,2,1,0,100,"{""source"": ""777"", ""compiled"": 777}",59,59,0,{}
2002323,Return to Battle,1,81,1,0,,0,1,0,30,,0,0,100,{}
2002324,Filled with Courage,1,81,1,0,,0,1,0,30,,0,0,100,{}
2002325,Beyond the Galaxy,1,61,1,0,,2,1,0,100,,7,7,0,{}
2002326,Unpredictable Movements,1,1,1,0,,2,2,1,100,,10,0,0,{}
2002327,Absurd Movements,1,1,1,0,,2,2,1,100,,10,0,0,{}
2002328,Taijoro's Power,1,3,1,0,,2,1,0,100,"{""source"": ""642"", ""compiled"": 642}",60,60,0,{}
2002329,Promise Made at Jingle Village,5,98,1,0,,2,99,0,100,,5,50,0,{}
2002330,Evil Warning,1,3,13,0,,2,1,0,100,,30,30,0,{}
2002331,The Feeling's Back,5,90,1,0,,0,99,0,100,"{""source"": ""778"", ""compiled"": 778}",30,0,0,{}
2002332,Power Level Surge,15,90,1,0,,2,1,0,100,"{""source"": ""780"", ""compiled"": 780}",100,0,0,{}
2002333,Execution of Duty,15,5,1,0,,0,1,0,100,"{""source"": ""665"", ""compiled"": 665}",3,0,0,{}
2002334,Completion of Duty,15,3,12,0,,2,1,0,100,"{""source"": ""787"", ""compiled"": 787}",30,30,0,{}
2002335,Hellish Barrier,15,3,13,0,,2,1,0,100,"{""source"": ""781"", ""compiled"": 781}",20,20,0,{}
2002336,Evil Barrier,15,5,13,0,,0,1,0,100,"{""source"": ""781"", ""compiled"": 781}",2,0,0,{}
2002337,Collapse of Order,15,1,1,0,,2,1,0,100,"{""source"": ""787"", ""compiled"": 787}",40,0,0,{}
2002339,A New Terror,4,1,1,0,,0,1,0,100,"{""source"": ""421|422|535|420"", ""compiled"": [""|"", 421, 422, 535, 420]}",20000,0,0,{}
2002340,Second Wave of Terror,3,5,1,0,,0,1,0,100,"{""source"": ""421|422|535|420"", ""compiled"": [""|"", 421, 422, 535, 420]}",3,0,0,{}
2002341,Beyond Space,1,91,1,0,,2,1,0,100,,30,0,0,{}
2002342,Power of Ultra Instinct,7,98,1,0,,0,99,0,100,"{""source"": ""594"", ""compiled"": 594}",1,3,5,{}
2002345,Mold-Shattering Power,5,98,1,0,,0,99,0,100,,1,3,5,{}
2002348,Leader's Resolve,4,3,1,0,,2,1,0,100,"{""source"": ""786"", ""compiled"": 786}",80,80,0,{}
2002349,Unprecedented Spirit,4,3,1,0,,2,1,0,100,"{""source"": ""799"", ""compiled"": 799}",120,120,0,{}
2002350,Devious Scheme,1,3,2,43,,2,1,0,100,"{""source"": ""789"", ""compiled"": 789}",20,20,0,{}
2002351,Evil Intellect and Leader's Strategy,1,3,2,43,,2,1,0,100,"{""source"": ""789"", ""compiled"": 789}",20,20,0,{}
2002352,All-Out Effort,4,3,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",100,100,0,{}
2002353,Warrior's Mettle,4,3,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",100,100,0,{}
2002354,Unlocked Potential,1,1,1,0,,2,6,1,100,,66,0,0,{}
2002355,Abundant Experience,1,3,2,165,,2,1,0,100,,10,10,0,{}
2002356,Tricky Tactics,1,5,2,165,,0,1,0,100,,1,0,0,{}
2002357,Matrimonial Power,5,98,1,0,,2,99,0,100,,20,80,0,{}
2002358,Basics of a Martial Artist,7,98,1,0,,2,99,0,100,"{""source"": ""24"", ""compiled"": 24}",10,30,1,{}
2002359,Master and Apprentice,1,5,2,165,,0,1,0,100,,2,0,0,{}
2002360,Teamwork Between Husband and Wife,5,98,1,0,,2,99,0,100,,20,100,0,{}
2002361,Martial Artists' Bond,7,98,1,0,,2,99,0,100,"{""source"": ""24"", ""compiled"": 24}",10,40,1,{}
2002363,Master and Apprentice,1,5,2,165,,0,1,0,100,,3,0,0,{}
2002364,Teamwork Between Husband and Wife,5,98,1,0,,2,99,0,100,,20,140,0,{}
2002365,Teamwork Between Husband and Wife,5,98,1,0,,2,99,0,100,,30,180,0,{}
2002366,Martial Artists' Bond,7,98,1,0,,2,99,0,100,"{""source"": ""24"", ""compiled"": 24}",20,60,1,{}
2002367,Martial Artists' Bond,7,98,1,0,,2,99,0,100,"{""source"": ""24"", ""compiled"": 24}",20,70,1,{}
2002368,Aftermath of a Clash of Power,1,3,1,0,,2,1,0,100,,100,100,0,{}
2002370,Transcendent Divine Power,7,98,1,0,,0,99,0,100,"{""source"": ""594"", ""compiled"": 594}",1,4,5,{}
2002371,Power From Friends,7,98,1,0,,0,99,0,100,"{""source"": ""594"", ""compiled"": 594}",1,5,5,{}
2002372,Almighty Power,5,98,1,0,,0,99,0,100,,1,4,5,{}
2002373,Power to Keep Promises,7,98,1,0,,2,1,0,100,"{""source"": ""24"", ""compiled"": 24}",10,30,4,{}
2002376,Accelerating Battle Spirit,1,91,1,0,,2,1,0,100,,70,0,0,{}
2002377,Condensed Time,5,98,1,0,,2,99,0,100,,5,50,0,{}
2002378,Universe 7's Joker in the Pack,5,98,1,0,,2,99,0,100,,6,60,0,{}
2002379,Last Remaining Ki,5,98,1,0,,2,99,0,100,,7,70,1,{}
2002382,Like a Human,4,1,1,0,,2,1,0,100,"{""source"": ""813"", ""compiled"": 813}",70,0,0,{}
2002383,Miraculous Cooperation,4,1,1,0,,2,1,0,100,"{""source"": ""816"", ""compiled"": 816}",77,0,0,{}
2002384,Vicious Past,1,13,1,0,,2,1,0,100,,90,0,0,{}
2002385,Fiendish Destruction,1,13,1,0,,2,1,0,100,,82,0,0,{}
2002386,Vegeta's Son,1,3,2,8,,2,1,0,100,,20,20,0,{}
2002387,Royal Bloodline,1,3,2,8,,2,1,0,100,,40,40,0,{}
2002388,Inescapable Horror,4,81,1,0,,0,1,0,100,"{""source"": ""47"", ""compiled"": 47}",0,0,100,{}
2002389,Aftermath of a Clash of Power,1,3,1,0,,2,1,0,100,,120,120,0,{}
2002390,Hell-Raising Pair,1,3,1,0,,2,1,0,70,"{""source"": ""2538"", ""compiled"": 2538}",20,20,0,{}
2002391,Combative Kids,1,3,1,0,,2,1,0,70,"{""source"": ""2538"", ""compiled"": 2538}",50,50,0,{}
2002392,Superior Responsiveness,1,3,12,0,,2,1,0,100,,20,20,0,{}
2002393,Rapid Adaptation,1,3,12,0,,2,1,0,100,,30,30,0,{}
2002394,Innate Intuition,1,3,2,0,,2,1,0,100,"{""source"": ""623|822|836"", ""compiled"": [""|"", 623, 822, 836]}",18,18,0,{}
2002395,Learning To Fight Back,1,3,2,0,,2,1,0,100,"{""source"": ""624|822|836"", ""compiled"": [""|"", 624, 822, 836]}",18,18,0,{}
2002396,Extra Rewards,1,5,2,0,,0,1,0,100,"{""source"": ""821|823|824"", ""compiled"": [""|"", 821, 823, 824]}",3,0,0,{}
2002397,Ultra Super Saiyan,1,91,1,0,,2,7,1,100,,30,0,0,{}
2002398,Rescue Begins,3,3,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",30,30,0,{}
2002399,Rescue Complete,3,3,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",41,41,0,{}
2002400,Goku's Ki Is Rising!,3,1,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",22,0,0,{}
2002401,Vegeta Has Raised His Ki!,3,1,1,0,,2,1,0,100,"{""source"": ""611"", ""compiled"": 611}",22,0,0,{}
2002402,Goku's Ki Is Rising!,3,1,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",44,0,0,{}
2002403,Goku's Ki Is Rising!,3,1,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",88,0,0,{}
2002404,Vegeta Has Raised His Ki!,3,1,1,0,,2,1,0,100,"{""source"": ""611"", ""compiled"": 611}",44,0,0,{}
2002405,Vegeta Has Raised His Ki!,3,1,1,0,,2,1,0,100,"{""source"": ""611"", ""compiled"": 611}",88,0,0,{}
2002406,Magnificent Maneuvers,4,91,1,0,,2,1,0,100,,-50,0,0,{}
2002407,Magnificent Performance,4,91,1,0,,2,1,0,100,,-50,0,0,{}
2002408,Mom's Lessons,5,98,1,0,,2,99,0,100,,7,30,0,{}
2002409,Brother's Lessons,5,98,1,0,,2,99,0,100,,10,50,0,{}
2002412,Dashing Transformation,3,3,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",58,58,0,{}
2002413,Dashing Transformation,3,3,1,0,,2,1,0,100,"{""source"": ""205"", ""compiled"": 205}",58,58,0,{}
2002414,Strategy in Motion,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",20,10000,0,{}
2002415,Strategy in Motion,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",20,10000,0,{}
2002416,Secret Mission,1,1,1,0,,2,1,0,100,"{""source"": ""27"", ""compiled"": 27}",80,0,0,{}
2002417,Disturbance-Curbing Energy,1,98,1,0,,2,99,0,100,,20,80,1,{}
2002418,Highly Praised Ability,1,5,1,0,,0,1,0,100,,1,0,0,{}
2002419,Together in Strength,5,98,1,0,,2,99,0,100,,10,58,0,{}
2002420,Brothers from Planet Konats,1,3,2,77,,2,1,0,100,,10,10,0,{}
2002421,Heroes of Planet Konats,1,3,2,177,,2,1,0,100,,10,10,0,{}
2002422,Legend of Planet Konats,1,3,2,177,,2,1,0,100,,20,20,0,{}
2002423,Promise Made to the Hero,1,90,1,0,,0,1,0,100,,30,0,0,{}
2002424,Infinite Metal,1,5,2,184,,0,1,0,100,,2,0,0,{}
2002426,Pure Power,1,67,1,0,,0,1,0,100,,31,32,0,{}
2002428,Pure Strength,1,67,1,0,,0,1,0,100,,31,32,0,{}
2002429,First to Attack,1,3,2,180,,2,1,0,100,,20,20,0,{}
2002430,Fraternal Guidance,1,5,2,180,,0,1,0,100,,3,0,0,{}
2002431,Precise Positioning,1,3,2,67,,2,1,0,100,,20,20,0,{}
2002432,Becoming Stronger Together,4,1,1,0,,2,1,0,100,"{""source"": ""838"", ""compiled"": 838}",40,0,0,{}
2002433,Minus Energy Resonance,3,5,1,0,,0,1,0,100,"{""source"": ""421|422"", ""compiled"": [""|"", 421, 422]}",4,0,0,{}
2002434,Warrior of the Galaxy,6,119,1,0,,0,1,0,30,"{""source"": ""1880"", ""compiled"": 1880}",0,0,0,{}
2002435,Another Secret Strategy,6,119,1,0,,0,1,0,30,"{""source"": ""1880"", ""compiled"": 1880}",0,0,0,{}
2002436,Suspicious Costume,5,98,1,0,,2,99,0,100,,7,49,2,{}
2002437,Suspicious Costume,5,98,1,0,,2,99,0,100,,7,49,2,{}
2002438,Support for the Journey,1,3,1,0,,2,1,0,100,"{""source"": ""140"", ""compiled"": 140}",60,60,0,{}
2002439,Support for the Journey,1,3,1,0,,2,1,0,100,"{""source"": ""140"", ""compiled"": 140}",70,70,0,{}
2002440,Two Generations Fighting as One,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",30,90,1,{}
2002441,Two Generations Fighting as One,5,98,1,0,,2,99,0,100,"{""source"": ""435"", ""compiled"": 435}",50,100,1,{}
2002442,Bursting Forth,1,5,1,0,,0,1,0,50,"{""source"": ""2538"", ""compiled"": 2538}",3,0,0,{}
2002443,Ingenious Combat Distance,9,13,1,0,,2,4,0,100,"{""source"": ""2739"", ""compiled"": 2739}",88,0,0,{}
2002444,Well-Calculated Combat Distance,9,13,1,0,,2,4,0,100,"{""source"": ""2739"", ""compiled"": 2739}",85,0,0,{}
2002445,Ideal Combat Distance,1,3,1,0,,2,1,0,100,"{""source"": ""869"", ""compiled"": 869}",17,17,0,{}
2002446,Rampant Bloodlust,1,2,1,0,,2,1,0,100,"{""source"": ""872"", ""compiled"": 872}",7,0,0,{}
2002447,Future Son,1,91,1,0,,2,1,0,100,"{""source"": ""879"", ""compiled"": 879}",15,0,0,{}
2002448,Piccolo's Warning,1,5,2,188,,0,1,0,100,,2,0,0,{}
2002449,Abject Hell,5,98,1,0,,2,99,0,100,,8,80,0,{}
