id,sub_target_type_set_id,target_value_type,target_value
1722,773,1,85
1723,773,1,46
1724,774,2,50
1725,774,1,59
1726,775,1,50
1727,775,1,2
1728,776,2,50
1729,776,1,59
1730,776,1,2
1731,777,2,2
1732,777,1,82
1733,777,1,50
1734,778,2,2
1735,778,1,82
1736,778,2,50
1737,778,1,59
1738,779,2,50
1739,779,2,59
1740,779,1,73
1741,780,2,50
1742,780,2,59
1743,780,1,73
1744,780,1,2
1745,781,2,2
1746,781,1,82
1747,781,2,50
1748,781,2,59
1749,781,1,73
1750,782,2,2
1751,782,2,82
1752,782,1,83
1753,782,1,50
1754,783,2,2
1755,783,2,82
1756,783,1,83
1757,783,2,50
1758,783,1,59
1759,784,2,2
1760,784,2,82
1761,784,1,83
1762,784,2,50
1763,784,2,59
1764,784,1,73
1765,785,1,8
1766,785,2,27
1767,786,1,51
1768,786,2,34
1769,787,2,8
1770,787,1,27
1771,788,2,72
1772,788,1,5
1773,789,2,72
1774,789,1,33
1775,790,2,20
1776,790,1,73
1777,791,2,60
1778,791,1,72
1779,792,1,64
1780,793,2,64
1781,793,1,9
1782,794,1,5
1783,795,2,5
1784,795,1,33
1785,796,1,5
1786,796,1,35
1787,797,2,5
1788,797,1,33
1789,797,1,35
1790,798,2,35
1791,798,1,79
1792,798,1,5
1793,799,2,35
1794,799,1,79
1795,799,2,5
1796,799,1,33
1797,800,2,5
1798,800,2,33
1799,800,1,70
1800,801,2,5
1801,801,2,33
1802,801,1,70
1803,801,1,35
1804,802,2,35
1805,802,1,79
1806,802,2,5
1807,802,2,33
1808,802,1,70
1809,803,2,35
1810,803,2,79
1811,803,1,87
1812,803,1,5
1813,804,2,35
1814,804,2,79
1815,804,1,87
1816,804,2,5
1817,804,1,33
1818,805,2,35
1819,805,2,79
1820,805,1,87
1821,805,2,5
1822,805,2,33
1823,805,1,70
1824,806,1,68
1825,806,2,62
1826,807,1,4
1827,807,2,27
1828,808,1,16
1829,809,2,16
1830,809,1,29
1831,810,1,16
1832,810,1,23
1833,811,2,16
1834,811,1,29
1835,811,1,23
1836,812,2,23
1837,812,1,68
1838,812,1,16
1839,813,2,23
1840,813,1,68
1841,813,2,16
1842,813,1,29
1843,814,2,23
1844,814,2,68
1845,814,1,50
1846,814,1,16
1847,815,2,23
1848,815,2,68
1849,815,1,50
1850,815,2,16
1851,815,1,29
1852,816,2,29
1853,816,1,68
1877,824,4,51
1878,824,5,52
1879,824,5,53
1880,825,5,51
1881,825,4,52
1882,825,5,53
1883,826,5,51
1884,826,5,52
1885,826,4,53
1889,829,2,4
1890,830,2,96
1896,834,2,68
1897,834,1,17
